,State Id,State Name,Violent Crime Rate,Property Crime Rate,One Bedroom Rent,Two Bedroom Rent,Three Bedroom Rent,Four Bedroom Rent
10,HI,Hawaii,"[21.02, 17.15, 18.88, 16.6, 22.2, 19.78, 19.09, 20.4, 16.53, 22.34, 17.01, 16.39]","[194.1, 163.4, 172.11, 185.87, 173.08, 164.23, 163.68, 170.66, 175.92, 173.7, 153.51, 158.56]",1614.0,2095.2,2801.6,3218.4
11,ID,Idaho,"[17.82, 16.68, 20.23, 17.95, 19.72, 20.82, 23.97, 22.14, 20.55, 19.35, 17.96, 16.88]","[56.15, 59.29, 67.35, 66.25, 66.77, 63.26, 65.6, 69.54, 66.01, 67.02, 56.44, 51.81]",832.0909090909091,1048.2045454545455,1455.1363636363637,1739.659090909091
12,IL,Illinois,"[20.87, 22.07, 23.95, 24.6, 27.97, 27.84, 28.61, 26.76, 25.1, 23.88, 22.48, 20.92]","[127.69, 134.44, 136.81, 138.28, 154.01, 159.85, 166.38, 163.6, 156.07, 159.74, 137.94, 136.21]",767.1862745098039,957.6666666666666,1244.6470588235295,1389.9803921568628
13,IN,Indiana,"[26.14, 24.67, 28.62, 28.26, 33.93, 34.15, 36.02, 32.53, 30.82, 26.98, 22.88, 22.75]","[122.39, 114.63, 116.63, 118.92, 134.07, 133.33, 141.23, 134.29, 127.05, 129, 121.74, 118.19]",802.6413043478261,1001.2934782608696,1285.7826086956522,1463.0326086956522
14,IA,Iowa,"[17.85, 16.71, 19.65, 18.36, 22.66, 24.23, 23.54, 24.59, 22.61, 20.99, 18.81, 16.79]","[95.43, 103.21, 101.5, 102.8, 111.28, 116.09, 123.79, 123.25, 120.51, 122.29, 105.18, 104.43]",718.7979797979798,908.6868686868687,1182.1919191919192,1308.3939393939395
15,KS,Kansas,"[33.95, 34.82, 36.65, 39.11, 45.07, 43.2, 45.2, 41.05, 45.29, 40.69, 36.58, 32.9]","[166.58, 165.48, 164.71, 172.01, 184.84, 182.66, 193.19, 204.21, 200.13, 182.63, 177.5, 180.92]",733.4571428571429,928.2761904761904,1198.4,1353.247619047619
16,KY,Kentucky,"[18.15, 15.47, 18.7, 18.09, 20.27, 19.9, 20.33, 19.57, 18.92, 19.59, 18.13, 17.57]","[112.07, 108.49, 112.07, 113.92, 126.32, 120.78, 125.84, 117.58, 115.23, 114.38, 114.53, 113.59]",756.3,946.2083333333334,1236.0166666666667,1388.8083333333334
17,LA,Louisiana,"[38.74, 40.26, 42.03, 43.4, 49.17, 43.4, 42.33, 42.47, 42.01, 41.48, 38.82, 42]","[204.36, 188.13, 191.49, 190.66, 185.79, 187.29, 183.73, 177.88, 163.45, 174.39, 168.65, 168.58]",831.375,1010.046875,1301.578125,1520.71875
18,ME,Maine,"[7.96, 8.1, 7.6, 7.42, 9.32, 9.39, 9.68, 9.39, 8.67, 8.53, 7.6, 8.27]","[81.94, 83.02, 78.36, 94.06, 102.73, 95.92, 115.85, 114.2, 112.34, 107.46, 91.48, 77.44]",894.8622641509434,1134.8754716981132,1465.7396226415094,1633.7943396226415
19,MD,Maryland,"[34.26, 32.12, 33.43, 34.81, 37.87, 37.49, 37.28, 37.22, 38.89, 36.79, 33.35, 30.67]","[163.96, 154.82, 159.5, 165.15, 174.78, 177.18, 185.42, 181.49, 184.76, 186.29, 169.26, 169.4]",1355.1666666666667,1621.9166666666667,2108.6666666666665,2435.125
20,MA,Massachusetts,"[22.41, 21.43, 24.4, 25.27, 29.06, 28.09, 29.68, 27.26, 25.11, 26.55, 25.61, 21.43]","[85.52, 81.28, 88.1, 86.44, 93.11, 87.88, 97.02, 99.9, 100, 101.2, 88.9, 87.27]",1636.3276353276353,2026.4159544159545,2489.356125356125,2805.6524216524217
21,MI,Michigan,"[32.14, 30.71, 33.54, 37.25, 41.71, 42.03, 41.92, 40.91, 39.44, 37.56, 33.7, 30.61]","[107.05, 105.21, 106.46, 107.5, 121.65, 121.91, 131.57, 134.34, 130.51, 132.91, 115.72, 112.2]",810.5060240963855,1014.5783132530121,1303.433734939759,1451.5301204819277
22,MN,Minnesota,"[20.18, 19.61, 20.41, 21.36, 23.76, 24.2, 25.52, 22.63, 22.93, 21.57, 19.56, 17.53]","[128.98, 117.67, 118.14, 124.61, 139.39, 137.68, 151.1, 151.92, 149.63, 150.64, 130.45, 125.74]",844.4942528735633,1065.1379310344828,1419.632183908046,1627.8275862068965
23,MS,Mississippi,"[15.56, 16.31, 17.35, 19.25, 24.18, 21.43, 19.7, 20.98, 17.61, 16.68, 17.33, 16.83]","[126.29, 116.64, 120.8, 113.06, 127.12, 127.91, 137.43, 133.29, 123.3, 129.09, 114.61, 119.96]",794.1341463414634,957.6463414634146,1226.7682926829268,1366.6707317073171
24,MO,Missouri,"[33.94, 33.89, 36.99, 37.43, 43.97, 42.28, 45.29, 43.26, 44.44, 39.09, 35.6, 35.33]","[153.71, 152.93, 158.45, 153.99, 173.76, 179.28, 197.03, 181.4, 167.26, 174.29, 157.26, 156.32]",702.1379310344828,886.7844827586207,1164.6206896551723,1344.353448275862
25,MT,Montana,"[28.51, 30.1, 34.94, 33.35, 38.9, 36.08, 44.18, 34.67, 39.16, 37.14, 32.65, 34.41]","[127.43, 119.15, 129.71, 124.79, 137.28, 142.39, 157.61, 156.64, 146.26, 156.29, 118.27, 125.58]",764.9464285714286,959.6071428571429,1283.1964285714287,1507.1964285714287
26,NE,Nebraska,"[16.04, 16.64, 17.75, 16.81, 19.12, 18.84, 20.62, 20.46, 20.27, 20.03, 20.65, 16.75]","[129.48, 139.23, 140.94, 137.44, 144.08, 146.07, 156.61, 136.76, 136.25, 146.51, 132.17, 131.55]",708.8924731182796,901.6236559139785,1154.1397849462367,1269.5591397849462
27,NV,Nevada,"[35.69, 30.65, 35.36, 36.06, 34.93, 35.74, 33.74, 35, 34.75, 36.44, 29.65, 30.16]","[197.04, 188.77, 184.87, 189.39, 194.4, 185.48, 185.45, 186.8, 186.13, 183.45, 170.37, 183.41]",1036.7058823529412,1310.0588235294117,1798.4705882352941,2161.235294117647
28,NH,New Hampshire,"[9.88, 7.25, 8.53, 7.89, 10.96, 10.45, 10.02, 8.18, 9.59, 10.8, 9.38, 9.02]","[66.75, 65.69, 80.69, 75.64, 79.47, 80.05, 85.73, 77.42, 85.83, 86.97, 73.9, 70.2]",1121.5559845559847,1448.6409266409266,1874.888030888031,2071.1814671814673
29,NJ,New Jersey,"[17.43, 15.59, 18.07, 17.47, 20.33, 20.59, 21.52, 19.85, 17.93, 19.33, 17.37, 15.74]","[117.93, 109.42, 109.78, 109.45, 120.84, 122.18, 135.95, 129.97, 123.23, 123.76, 113.44, 116.07]",1550.904761904762,1889.3809523809523,2373.6190476190477,2694.714285714286
